time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-01-03 09:30:00-05:00,MLTrader,4c16e159cf66443796123af4a43e0ada,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:30:00-05:00,MLTrader,4c16e159cf66443796123af4a43e0ada,SPY,sell,market,fill,1,gtc,0.0,1,stock,476.29998779296875,105,0.0
2022-01-14 09:30:00-05:00,MLTrader,fdf0f86884d94611b09252ed40136530,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-14 09:30:00-05:00,MLTrader,fdf0f86884d94611b09252ed40136530,SPY,sell,market,fill,1,gtc,0.0,1,stock,461.19000244140625,163,0.0
2022-01-21 09:30:00-05:00,MLTrader,af00235cdfe643d6b8543e9840402879,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,af00235cdfe643d6b8543e9840402879,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,253,0.0
2022-02-18 09:30:00-05:00,MLTrader,58b66da4ba974a4d8b8e8356917f87b2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-02-18 09:30:00-05:00,MLTrader,58b66da4ba974a4d8b8e8356917f87b2,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.3299865722656,386,0.0
2022-03-04 09:30:00-05:00,MLTrader,e89ced0fd8bf4b84ae7f48cbd8ec9aa2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,e89ced0fd8bf4b84ae7f48cbd8ec9aa2,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,587,0.0
2022-03-14 09:30:00-04:00,MLTrader,2060cdc570c14b3986fa2070ba5f7b3e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-14 09:30:00-04:00,MLTrader,2060cdc570c14b3986fa2070ba5f7b3e,SPY,sell,market,fill,1,gtc,0.0,1,stock,419.7699890136719,905,0.0
2022-03-16 09:30:00-04:00,MLTrader,638121fd974f4293bdb6b9fd35d4c132,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-16 09:30:00-04:00,MLTrader,e95efecfd4cc477e92dec7195b535bf2,SPY,buy,stop,fill,1,day,0.0,1,stock,440.7584884643555,905,0.0
2022-03-18 09:30:00-04:00,MLTrader,ae6a4f5cbaab40559c8fcb23e4a409c7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTrader,ae6a4f5cbaab40559c8fcb23e4a409c7,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,846,0.0
2022-03-24 09:30:00-04:00,MLTrader,dd11bceb18434575acdecf3a7d06b2e0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTrader,dd11bceb18434575acdecf3a7d06b2e0,SPY,sell,market,fill,1,gtc,0.0,1,stock,451.1600036621094,1232,0.0
2022-03-28 08:30:00-04:00,MLTrader,d47124ded93144f5942abecb75440023,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,bc20399af55c49ed80e3aba7e66f0aaa,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,386,0.0
2022-03-28 08:30:00-04:00,MLTrader,0d8d576b610f4bdf9467a1f0ea03ea67,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,138af1b7f421455f8d76109464962bde,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,587,0.0
2022-03-28 08:30:00-04:00,MLTrader,252d5778daeb4c54b61fc1ed1a10d70e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,e9c0f6ebbd9e4b779dc5c95dac51b498,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,846,0.0
2022-04-19 09:30:00-04:00,MLTrader,51c59a9e044b4ed0b00329d72549cd8e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-19 09:30:00-04:00,MLTrader,51c59a9e044b4ed0b00329d72549cd8e,SPY,sell,market,fill,1,gtc,0.0,1,stock,446.9200134277344,929,0.0
2022-04-21 09:30:00-04:00,MLTrader,315eaae44595419191e7bc02806fcbaf,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-21 09:30:00-04:00,MLTrader,315eaae44595419191e7bc02806fcbaf,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,1426,0.0
2022-04-22 09:30:00-04:00,MLTrader,91deb166e216460e823df242858be557,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTrader,91deb166e216460e823df242858be557,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,2139,0.0
2022-04-26 09:30:00-04:00,MLTrader,c36634b6977845f1a71c75b5285383d1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-26 09:30:00-04:00,MLTrader,c36634b6977845f1a71c75b5285383d1,SPY,sell,market,fill,1,gtc,0.0,1,stock,417.239990234375,3360,0.0
2022-04-27 09:30:00-04:00,MLTrader,59ec595d18b3436cabb6304cbd7e9a9e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTrader,59ec595d18b3436cabb6304cbd7e9a9e,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,4979,0.0
2022-04-28 09:30:00-04:00,MLTrader,0d4110326c6449049877775745bbda49,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,0d4110326c6449049877775745bbda49,SPY,sell,market,fill,1,gtc,0.0,1,stock,423.5899963378906,7446,0.0
2022-04-29 09:30:00-04:00,MLTrader,ff158ab9ed194b108c2c3d44e454bc24,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,bde5aa1feefd4bc9bc741231a74b55f5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,bf1c7cbadd5247e8b3bf86c22db47736,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,9867a77733374ad59e5c17ec7546eb5c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,95b4b724c20544b2a91600cc67202693,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,496850a329e649d396e77997c720a876,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,91441ba20073450bb1fe1db0c61c61ba,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,6edd187fed974f54a59f59054ee31dcf,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,152dab644f7742019b95db752f5e7f1c,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,efd6530d853647f3a535c260d78d5e41,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,c022955e5ad04b6096d71f702d8ed2e7,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,7adc0b49edfd4ff88485abf5e10795bf,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,3c4d289b045d4b2d9506c7b248b72988,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,c3f724dc4fb54459b42cc28d51043f74,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,f227cad9f24a4fd2a5ede6801c85f9b4,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,6557b0667d504eb9ba689292fd25f7e5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,d6c705d16dd647519e0a86f344ec5b33,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,ac73ff49568f4828bf4679d1379aa20d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,73fabd009ec5454ab1d78735b88d3443,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,9ac2a42c40fe4adbad267692e739e7ff,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,bd332a9e45e945c88032686c8fd2be43,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,4cb23a887423487b8c6527bc5dc69b18,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,bd332a9e45e945c88032686c8fd2be43,SPY,buy,market,fill,1,day,0.0,1,stock,423.5899963378906,22032.0,0.0
2022-04-29 09:30:00-04:00,MLTrader,4cb23a887423487b8c6527bc5dc69b18,SPY,buy,market,fill,1,gtc,0.0,1,stock,423.5899963378906,11169,0.0
2022-05-09 08:30:00-04:00,MLTrader,cb6c0426ad9b498fb37012d61b005d7f,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-05-09 08:30:00-04:00,MLTrader,f4663468fa694a1981b15503b05f1737,SPY,sell,stop,fill,1,day,0.0,1,stock,402.41049652099605,11169,0.0
